"Tarih,Saat,Enlem(N),Boylam(E),Derinlik(km),MD,ML,Mw,Yer"
"2023.12.08,08:29:32,34.4638,24.8155,5.0,-.-,3.2,-.-,GIRIT,ADASI,ACIKLARI(AKDENIZ)"
"2023.12.08,08:18:20,38.6350,39.5178,9.9,-.-,1.9,-.-,DEGIRMENONU-(ELAZIG)"
"2023.12.08,08:09:10,36.3707,36.2953,6.0,-.-,1.7,-.-,GULOVA-KUMLU(HATAY)"
"2023.12.08,07:31:21,40.4195,28.8598,10.3,-.-,1.7,-.-,GEMLIK,KORFEZI(MARMARA,DENIZI)"
"2023.12.08,07:20:22,38.5528,40.3955,4.4,-.-,2.6,-.-,KALEDIBI-HANI(DIYARBAKIR)"
"2023.12.08,07:08:01,35.7408,27.7457,9.0,-.-,2.4,-.-,AKDENIZ,Ýlksel"
"2023.12.08,07:04:04,37.8227,36.6385,6.1,-.-,1.6,-.-,CAGLAYAN-(KAHRAMANMARAS)"
"2023.12.08,06:17:31,38.7357,37.4885,16.9,-.-,1.4,-.-,KAVAKKOY-DARENDE(MALATYA)"
"2023.12.08,06:05:24,34.4212,24.7940,2.2,-.-,2.3,-.-,GIRIT,ADASI,ACIKLARI(AKDENIZ)"
"2023.12.08,06:03:02,37.4137,43.0013,3.6,-.-,1.8,-.-,GULYAZI-ULUDERE(SIRNAK)"
"2023.12.08,05:33:48,38.2178,37.2638,18.5,-.-,1.2,-.-,CICEKKOY-ELBISTAN(KAHRAMANMARAS)"
"2023.12.08,05:26:47,40.0550,23.6898,7.8,-.-,1.4,-.-,YUNANISTAN,Ýlksel"
"2023.12.08,04:14:43,35.1798,32.4692,13.1,-.-,1.6,-.-,KIBRIS,RUM,KESIMI,Ýlksel"
"2023.12.08,04:14:21,38.4313,37.6232,11.6,-.-,1.7,-.-,ASAGIULUPINAR-DARENDE(MALATYA)"
"2023.12.08,04:03:51,38.4387,37.6548,5.4,-.-,1.3,-.-,KARABAYIR-DARENDE(MALATYA)"
"2023.12.08,03:57:57,38.3542,37.6642,5.0,-.-,1.8,-.-,DARICA-AKCADAG(MALATYA)"
"2023.12.08,03:31:33,38.0868,37.5828,7.1,-.-,1.5,-.-,TAPKIRANKALE-ELBISTAN(KAHRAMANMARAS)"
"2023.12.08,02:52:12,39.0212,25.8705,6.0,-.-,2.1,-.-,MIDILLI,ADASI,GUNEYI(EGE,DENIZI)"
"2023.12.08,02:42:13,35.1217,27.9113,81.1,-.-,3.4,-.-,AKDENIZ,Ýlksel"
"2023.12.08,02:11:39,38.3937,37.4900,3.3,-.-,1.3,-.-,SUGUL-DARENDE(MALATYA)"
"2023.12.08,02:06:08,38.2572,38.7067,5.0,-.-,1.5,-.-,CAYKOY-PUTURGE(MALATYA)"
"2023.12.08,02:04:04,35.6430,26.5912,5.0,-.-,1.7,-.-,AKDENIZ,Ýlksel"
