Derinlik,ML,Yer,Timestamp
5.0,1.5,KAHRAMANMARAS,1701885276.0
5.3,1.7,BOLU,1701884700.0
4.9,2.2,SANLIURFA,1701883901.0
13.1,1.3,KAHRAMANMARAS,1701882761.0
8.4,1.9,MALATYA,1701881079.0
12.7,1.5,KAHRAMANMARAS,1701879028.0
7.0,1.4,MALATYA,1701877738.0
2.5,1.8,KAYSERI,1701876732.0
5.0,2.3,MANISA,1701874249.0
9.2,2.8,HATAY,1701873500.0
3.2,2.7,ADANA,1701872696.0
15.8,1.7,ELAZIG,1701872397.0
17.1,1.5,KAYSERI,1701872175.0
2.6,2.2,MALATYA,1701870514.0
5.3,1.7,IZMIR,1701866972.0
13.1,1.5,KAHRAMANMARAS,1701865236.0
4.9,1.3,BALIKESIR,1701863248.0
13.3,2.0,CORUM,1701862743.0
7.4,1.8,BALIKESIR,1701862708.0
8.0,2.2,CORUM,1701862112.0
8.1,1.5,KAHRAMANMARAS,1701862065.0
6.9,1.9,CORUM,1701861767.0
1.4,2.4,IZMIR,1701859946.0
14.2,1.2,ADANA,1701859864.0
9.0,1.4,BURSA,1701859097.0
23.1,1.6,HATAY,1701859067.0
8.8,1.8,KAHRAMANMARAS,1701858796.0
9.3,1.7,KAHRAMANMARAS,1701858292.0
10.7,3.3,BURSA,1701856904.0
0.0,2.0,KUTAHYA,1701856082.0
0.0,1.7,KUTAHYA,1701855868.0
9.3,2.2,SIVAS,1701854836.0
16.2,1.4,KAHRAMANMARAS,1701854180.0
19.2,1.9,ADIYAMAN,1701853565.0
0.0,1.4,GAZIANTEP,1701853436.0
5.3,2.0,KAHRAMANMARAS,1701852800.0
11.3,1.8,CORUM,1701852485.0
0.0,1.8,MALATYA,1701850681.0
6.9,1.8,ADIYAMAN,1701850309.0
2.1,1.9,CORUM,1701849735.0
6.8,2.4,KAHRAMANMARAS,1701847015.0
5.0,1.1,SIVAS,1701846850.0
5.3,1.1,KONYA,1701846786.0
11.8,1.5,KAHRAMANMARAS,1701846490.0
5.0,1.4,BURSA,1701845654.0
5.0,3.1,KAHRAMANMARAS,1701844904.0
16.0,1.7,KAHRAMANMARAS,1701844542.0
2.8,2.4,KAHRAMANMARAS,1701844254.0
8.5,1.5,KAHRAMANMARAS,1701843680.0
7.8,1.9,KAHRAMANMARAS,1701843542.0
5.4,1.6,GAZIANTEP,1701842588.0
20.4,1.7,MERSIN,1701842349.0
5.4,2.6,ADIYAMAN,1701842315.0
6.5,1.6,KAHRAMANMARAS,1701842171.0
24.1,1.3,ADANA,1701841637.0
5.4,2.6,SAKARYA,1701841531.0
5.1,2.0,YOZGAT,1701841423.0
16.2,1.9,SIVAS,1701840355.0
5.0,2.6,KAHRAMANMARAS,1701840212.0
5.0,3.2,KAHRAMANMARAS,1701839460.0
5.3,3.3,CORUM,1701836934.0
5.0,2.4,KARS,1701834958.0
6.0,1.2,BURSA,1701834431.0
12.5,1.7,KAHRAMANMARAS,1701833043.0
8.7,1.5,MUGLA,1701832936.0
8.1,1.7,MALATYA,1701832009.0
5.4,1.6,KAHRAMANMARAS,1701831793.0
1.4,2.2,KAHRAMANMARAS,1701831716.0
11.1,1.8,KAHRAMANMARAS,1701829039.0
5.2,2.7,OSMANIYE,1701824399.0
5.0,2.6,GAZIANTEP,1701824319.0
11.0,1.8,BURSA,1701820780.0
5.5,1.5,MALATYA,1701819572.0
6.6,1.7,VAN,1701818644.0
4.9,1.9,ADIYAMAN,1701817444.0
6.9,1.8,SANLIURFA,1701815293.0
16.9,1.6,ERZURUM,1701815003.0
5.0,3.1,SIVAS,1701811499.0
7.7,1.4,CANKIRI,1701811333.0
5.4,2.0,MALATYA,1701809865.0
6.4,1.5,MALATYA,1701809779.0
5.4,2.0,ADIYAMAN,1701809329.0
12.3,1.8,MALATYA,1701808479.0
15.6,1.4,KAHRAMANMARAS,1701808235.0
7.8,2.0,KAHRAMANMARAS,1701808087.0
11.7,2.5,ELAZIG,1701807804.0
12.2,1.2,BURSA,1701806912.0
3.8,1.7,KAHRAMANMARAS,1701806293.0
5.0,1.8,KAHRAMANMARAS,1701805792.0
33.2,1.3,KAHRAMANMARAS,1701805261.0
6.2,1.5,ISPARTA,1701803183.0
