Derinlik,ML,Yer,Timestamp
5.0,1.4,HATAY,1703024662.0
3.1,1.7,BALIKESIR,1703024133.0
5.0,1.6,OSMANIYE,1703024103.0
6.8,1.8,MALATYA,1703021146.0
7.4,1.7,DENIZLI,1703019528.0
5.0,3.4,KAHRAMANMARAS,1703017371.0
5.0,2.2,KAHRAMANMARAS,1703010700.0
8.2,1.6,ADANA,1703008141.0
7.5,2.2,HATAY,1703007216.0
3.3,1.8,KAHRAMANMARAS,1703003987.0
6.3,1.4,MUGLA,1703003478.0
13.2,2.3,ANTALYA,1703001233.0
7.6,2.5,GUMUSHANE,1702999472.0
7.3,2.0,ELAZIG,1702998697.0
12.9,2.1,MALATYA,1702993421.0
5.0,1.4,KAHRAMANMARAS,1702992173.0
12.9,1.2,KONYA,1702990498.0
5.0,2.1,MALATYA,1702988578.0
14.7,1.7,GAZIANTEP,1702986584.0
11.6,1.2,CANAKKALE,1702985614.0
21.8,2.1,MALATYA,1702985509.0
0.0,1.4,MERSIN,1702985130.0
5.0,1.7,MALATYA,1702984841.0
0.0,1.3,MERSIN,1702980499.0
18.6,1.8,KAHRAMANMARAS,1702980326.0
12.6,1.7,SANLIURFA,1702979352.0
0.0,1.4,YALOVA,1702979169.0
5.0,1.4,ADANA,1702977567.0
0.0,1.2,MANISA,1702977322.0
5.7,1.4,HATAY,1702975434.0
5.0,2.0,DENIZLI,1702974425.0
18.7,0.8,ANKARA,1702974242.0
0.0,1.1,BURSA,1702973735.0
4.0,1.7,KAHRAMANMARAS,1702971546.0
5.0,1.5,ANKARA,1702966832.0
14.8,1.3,KAHRAMANMARAS,1702956123.0
8.6,1.3,ANKARA,1702954610.0
3.2,1.2,MALATYA,1702954328.0
5.0,1.3,DENIZLI,1702952019.0
11.8,2.1,ELAZIG,1702951708.0
6.9,1.1,YALOVA,1702951456.0
7.4,1.3,IZMIR,1702951312.0
5.6,1.3,KONYA,1702950596.0
5.0,1.9,MALATYA,1702949480.0
5.0,2.1,MALATYA,1702945485.0
10.3,1.2,MALATYA,1702944955.0
9.1,2.3,MALATYA,1702942484.0
5.7,1.7,KAHRAMANMARAS,1702939982.0
4.6,1.7,ADIYAMAN,1702938476.0
5.4,1.1,KAHRAMANMARAS,1702937740.0
7.8,1.7,HATAY,1702935832.0
4.0,1.5,KAHRAMANMARAS,1702935104.0
5.7,1.8,KAHRAMANMARAS,1702934926.0
5.4,2.7,GUMUSHANE,1702934870.0
1.8,3.4,GUMUSHANE,1702931299.0
5.0,4.0,GUMUSHANE,1702930992.0
7.1,1.5,KAYSERI,1702927117.0
9.8,1.9,BURSA,1702923998.0
5.0,3.7,VAN,1702922958.0
4.5,2.2,KAHRAMANMARAS,1702921898.0
5.0,2.1,KAHRAMANMARAS,1702921130.0
6.4,1.8,KAHRAMANMARAS,1702913755.0
5.2,1.9,KUTAHYA,1702912344.0
6.2,2.2,KAHRAMANMARAS,1702906825.0
26.2,1.1,DENIZLI,1702905861.0
5.0,2.1,ANKARA,1702903843.0
7.0,1.7,KAHRAMANMARAS,1702902747.0
24.2,2.4,ERZINCAN,1702902743.0
5.0,1.6,KAHRAMANMARAS,1702901831.0
5.2,2.3,MALATYA,1702901109.0
5.6,2.1,DIYARBAKIR,1702897996.0
5.3,1.6,SIVAS,1702897748.0
2.6,2.0,ANKARA,1702895740.0
0.0,2.0,KUTAHYA,1702893473.0
0.0,1.4,BURSA,1702891834.0
11.5,2.0,KAHRAMANMARAS,1702890815.0
7.0,1.5,MARDIN,1702889921.0
14.7,1.6,YALOVA,1702889436.0
6.9,2.0,SIVAS,1702888222.0
0.0,1.2,KONYA,1702887418.0
17.9,1.6,ELAZIG,1702886082.0
5.0,2.2,ADANA,1702885700.0
8.2,2.1,BURSA,1702884340.0
22.6,1.6,ISPARTA,1702883177.0
5.4,1.7,KAHRAMANMARAS,1702882052.0
5.0,2.1,ADIYAMAN,1702881770.0
