"Tarih,Saat,Enlem(N),Boylam(E),Derinlik(km),MD,ML,Mw,Yer"
"2023.12.22,00:49:01,37.0768,28.2857,13.0,-.-,1.2,-.-,KUYUCAK-(MUGLA)"
"2023.12.22,00:12:09,36.1022,28.1378,5.0,-.-,1.8,-.-,AKDENIZ,Ýlksel"
"2023.12.22,00:00:59,38.3012,37.8152,4.1,-.-,1.8,-.-,ORTAKOY-AKCADAG(MALATYA)"
"2023.12.21,23:47:05,37.7355,35.5933,7.4,-.-,1.6,-.-,KAPIKAYA-KOZAN(ADANA)"
"2023.12.21,22:51:20,38.1582,36.9027,7.6,-.-,2.6,-.-,ESENCE-AFSIN(KAHRAMANMARAS)"
"2023.12.21,22:48:41,35.7938,29.5860,9.3,-.-,3.0,-.-,AKDENIZ,Ýlksel"
"2023.12.21,22:15:05,37.0640,28.8963,8.6,-.-,2.7,-.-,OTMANLAR-KOYCEGIZ(MUGLA)"
"2023.12.21,21:24:32,36.3215,36.1672,5.4,-.-,4.1,-.-,UCGEDIK-(HATAY)"
"2023.12.21,20:56:48,38.1523,36.9650,5.0,-.-,2.3,-.-,NADIRKOY-AFSIN(KAHRAMANMARAS)"
"2023.12.21,20:29:55,40.5755,27.6663,5.0,-.-,3.1,-.-,TOPAGAC-MARMARA(BALIKESIR)"
"2023.12.21,18:18:15,37.3017,37.0100,5.2,-.-,1.7,-.-,CENNETPINARI-PAZARCIK(KAHRAMANMARAS)"
"2023.12.21,17:34:35,38.0547,36.5265,5.6,-.-,1.9,-.-,ORTATEPE-GOKSUN(KAHRAMANMARAS)"
"2023.12.21,17:29:11,38.1697,26.1608,1.0,-.-,2.0,-.-,SAKIZ,ADASI(EGE,DENIZI)"
"2023.12.21,17:10:27,39.2982,27.7895,5.0,-.-,1.7,-.-,CERKEZ,SULTANIYE-SOMA(MANISA)"
"2023.12.21,17:03:07,40.7100,27.5398,7.1,-.-,3.3,-.-,MARMARA,DENIZI,Ýlksel"
"2023.12.21,16:47:22,38.1582,26.0817,7.0,-.-,1.6,-.-,SAKIZ,ADASI(EGE,DENIZI)"
"2023.12.21,15:51:15,38.3362,37.4878,4.5,-.-,2.0,-.-,YOGUNSOGUT-ELBISTAN(KAHRAMANMARAS)"
"2023.12.21,15:10:04,37.1342,28.9213,1.3,-.-,1.6,-.-,OTMANLAR-KOYCEGIZ(MUGLA)"
"2023.12.21,15:08:53,37.1418,28.9030,6.7,-.-,2.1,-.-,ESENLER-BEYAGAC(DENIZLI)"
"2023.12.21,14:56:24,37.1438,28.9143,7.8,-.-,2.2,-.-,ESENLER-BEYAGAC(DENIZLI)"
"2023.12.21,14:43:14,38.4943,40.2583,9.9,-.-,1.8,-.-,UCOCAK-ARICAK(ELAZIG)"
"2023.12.21,14:42:32,39.4787,25.9667,6.3,-.-,3.0,-.-,GULPINAR,ACIKLARI-CANAKKALE(EGE,DENIZI)"
"2023.12.21,14:38:18,40.4337,33.8537,8.3,-.-,1.9,-.-,BOZKIR-(CANKIRI)"
"2023.12.21,14:33:53,39.0093,31.0428,14.2,-.-,1.3,-.-,YUREGIL-EMIRDAG(AFYONKARAHISAR)"
"2023.12.21,14:31:22,39.0532,40.4715,12.1,-.-,1.7,-.-,OGULDERE-(BINGOL)"
"2023.12.21,14:05:25,35.7355,30.6538,14.7,-.-,2.3,-.-,AKDENIZ,Ýlksel"
"2023.12.21,13:49:45,38.6462,42.9880,5.3,-.-,1.6,-.-,VAN,GOLU,Ýlksel"
"2023.12.21,13:39:03,40.3160,33.8068,6.8,-.-,1.4,-.-,BOSTANLI-KIZILIRMAK(CANKIRI)"
"2023.12.21,13:13:55,37.5743,35.8280,9.4,-.-,1.3,-.-,DUZAGAC-KOZAN(ADANA)"
"2023.12.21,13:04:04,39.7255,30.6890,0.0,-.-,1.7,-.-,KANLIPINAR-ODUNPAZARI(ESKISEHIR)"
"2023.12.21,12:40:18,36.1302,33.5430,0.0,-.-,1.5,-.-,YANISLI-GULNAR(MERSIN)"
"2023.12.21,12:38:17,37.5230,36.6280,5.3,-.-,1.5,-.-,YOLYANI-(KAHRAMANMARAS)"
"2023.12.21,12:09:19,39.6708,27.8627,6.4,-.-,1.6,-.-,BALIKESIR(BALIKESIR)"
"2023.12.21,11:24:07,36.5235,33.5767,17.6,-.-,1.9,-.-,HISARKOY-MUT(MERSIN)"
"2023.12.21,11:20:24,38.6480,34.7500,5.0,-.-,1.5,-.-,NAR-(NEVSEHIR)"
"2023.12.21,10:24:57,35.6672,31.9543,8.9,-.-,2.2,-.-,AKDENIZ,Ýlksel"
"2023.12.21,10:24:41,38.2203,37.7537,12.0,-.-,1.5,-.-,CAVUSLU-DOGANSEHIR(MALATYA)"
"2023.12.21,09:23:39,37.9698,37.6172,8.2,-.-,2.0,-.-,KAPIDERE-DOGANSEHIR(MALATYA)"
"2023.12.21,09:23:11,38.1457,32.1237,0.0,-.-,1.0,-.-,CESMECIK-KADINHANI(KONYA)"
"2023.12.21,09:09:57,38.1018,32.5945,0.0,-.-,1.6,-.-,SARICALAR-SELCUKLU(KONYA)"
"2023.12.21,08:58:38,38.0370,36.6657,5.3,-.-,1.6,-.-,AHMETCIK-GOKSUN(KAHRAMANMARAS)"
"2023.12.21,08:54:53,40.7057,30.5662,2.7,-.-,1.1,-.-,BUGDAYLI-AKYAZI(SAKARYA)"
"2023.12.21,08:53:06,38.6677,25.3703,10.4,-.-,2.6,-.-,EGE,DENIZI,Ýlksel"
"2023.12.21,08:38:31,39.9480,39.3100,25.6,-.-,1.8,-.-,YESILYURT-KELKIT(GUMUSHANE)"
"2023.12.21,08:21:21,38.2982,38.1838,10.4,-.-,1.4,-.-,IKIZCE-YESILYURT(MALATYA)"
"2023.12.21,08:13:54,38.2437,39.5468,12.4,-.-,1.8,-.-,CAYIRDERE-ERGANI(DIYARBAKIR)"
"2023.12.21,08:10:44,37.0937,28.9260,1.7,-.-,2.0,-.-,OTMANLAR-KOYCEGIZ(MUGLA)"
"2023.12.21,08:02:41,40.4367,28.8875,5.2,-.-,1.7,-.-,GEMLIK,KORFEZI(MARMARA,DENIZI)"
"2023.12.21,07:26:49,38.1738,36.9095,5.5,-.-,1.8,-.-,HUYUKLU-AFSIN(KAHRAMANMARAS)"
"2023.12.21,07:17:38,35.4610,26.8833,5.0,-.-,2.3,-.-,GIRIT,ADASI(AKDENIZ)"
"2023.12.21,06:38:43,37.0193,28.4960,17.4,-.-,1.3,-.-,SARAYYANI-ULA(MUGLA)"
"2023.12.21,06:22:20,36.5860,30.1328,44.2,-.-,2.2,-.-,KARACAOREN-KUMLUCA(ANTALYA)"
"2023.12.21,06:17:28,38.0498,37.3083,7.1,-.-,1.5,-.-,AGCASAR-NURHAK(KAHRAMANMARAS)"
"2023.12.21,06:09:32,37.8290,27.0283,3.7,-.-,2.0,-.-,KUSADASI,KORFEZI(EGE,DENIZI)"
"2023.12.21,05:00:47,40.0198,25.7895,10.1,-.-,1.9,-.-,SIRINKOY-GOKCEADA(CANAKKALE)"
"2023.12.21,04:48:34,38.4472,37.4815,5.0,-.-,1.4,-.-,YAVUZLAR-DARENDE(MALATYA)"
"2023.12.21,04:47:35,37.2585,37.0708,7.3,-.-,1.5,-.-,EVRI-PAZARCIK(KAHRAMANMARAS)"
"2023.12.21,04:28:03,40.7325,28.0742,13.5,-.-,2.3,-.-,MARMARA,DENIZI,Ýlksel"
"2023.12.21,04:09:33,40.0153,25.7840,6.3,-.-,2.1,-.-,SIRINKOY-GOKCEADA(CANAKKALE)"
"2023.12.21,04:07:09,40.4108,28.8332,11.7,-.-,2.0,-.-,KUMYAKA-MUDANYA(BURSA)"
"2023.12.21,03:41:03,38.2735,38.1473,10.9,-.-,1.6,-.-,SEYITUSAGI-YESILYURT(MALATYA)"
"2023.12.21,03:33:04,37.7598,36.0348,7.7,-.-,1.5,-.-,AKOLUK-FEKE(ADANA)"
"2023.12.21,03:27:58,38.1393,31.0080,3.2,-.-,1.3,-.-,GELENDOST(ISPARTA)"
"2023.12.21,03:11:45,37.5348,26.8375,5.5,-.-,1.9,-.-,EGE,DENIZI,Ýlksel"
